,Character,Name_score
0,Passepartout,0.0
1,PhileasFogg,0.0
2,MrFogg,0.0
3,Fix,-1.0
4,MrsAouda,0.0
5,Fogg,0.0
6,FrancisCromarty,-0.89
7,AndrewStuart,-1.0
8,Proctor,0.0
9,JohnBunsby,-0.99
10,Stuart,-0.99
11,Obadiah,0.0
12,Mudge,0.0
13,ThomasFlanagan,-1.0
14,JohnSullivan,-0.99
15,Batulcar,0.0
16,AndrewSpeedy,-1.0
