Coupeau,character,0.6818181818181818
Fogg,place,1.0
Wilhelmine,character,0.7215189873417721
Arabes,character,1.0
Gündüz,character,1.0
Barbonnet,place,1.0
US,character,0.6792452830188679
JeanProuvaire,character,1.0
Danube,place,1.0
MadameDarzac,character,1.0
Ainéias,place,0.6666666666666666
Ali,character,0.004764638346727899
MlleSwann,character,1.0
Cardénio,character,1.0
Fée,place,1.0
Lapin-Blanc,character,0.6666666666666666
Bavière,place,1.0
Rouge,character,0.0064454976303317535
Liberté,other,1.0
Faverolles,character,0.6625
Ebony,character,0.5531914893617021
EnricoFermi,character,1.0
Frappier,character,0.0057692307692307696
Skyllè,character,1.0
Ursule,character,0.4936708860759494
Javert,character,1.0
Carré-Lamadon,character,1.0
Martinville,place,1.0
Grand-Juge,other,1.0
Beauséjour,place,0.03128911138923655
Jules,character,0.5625
MlleMarie,character,0.6
Zélie,character,1.0
Euphrasie,character,0.5714285714285714
Rochegude,character,0.014285714285714285
Malheureusement,other,1.0
Aidès,other,1.0
Genève,place,1.0
PaquettelaChantefleurie,character,1.0
CheGuevara,character,1.0
Patu,character,0.6981132075471698
Araucanie,place,1.0
Enjolras,character,0.5641025641025641
MonsieurSimonBombard,place,1.0
MariusPontmercy,character,1.0
Dora,character,0.55
Derville,place,0.0032258064516129032
Vandalie,place,1.0
Burns,character,0.7358490566037735
MmeSazerat,character,1.0
Droit-Mur,concept,1.0
Pousa,place,1.0
Miroirs,other,1.0
Royal,character,0.583941605839416
JacquesCharmolue,character,1.0
Saint-Médard,character,0.006627605417347036
Saint-Romain,character,0.6161616161616161
Lequel,other,1.0
Osuna,place,1.0
Plaise,character,0.5
Merci,character,0.5955882352941176
Beethoven,character,1.0
Orlanduccio,character,1.0
Jehan,character,0.6370370370370371
Odysseus,character,0.6666666666666666
Marseille,place,1.0
Saint-Lazare,character,0.0018432500184325002
Rueille,place,1.0
MGiraud,character,1.0
MPorthos,character,1.0
Moritz,character,0.8
Roque,character,0.5846153846153846
Milan,place,1.0
Modinier,character,1.0
Great-Eastern,character,0.52
Dès,place,0.032679738562091505
Danaens,character,1.0
Mowcher,character,1.0
MFauchelevent,character,1.0
Micomicon,character,1.0
Grand-Pont,place,0.016326530612244896
Tarquin,character,0.010902255639097745
Florestan,character,1.0
Wou,place,0.025974025974025972
Palférine,character,1.0
Calchas,character,0.6666666666666666
Indiens,place,0.5959595959595959
Zéphine,character,0.5555555555555556
Séville,place,1.0
Mousqueton,other,1.0
Thèbes,place,0.06451612903225806
Méditerranée,place,1.0
ArthurRance,character,0.8
Juste,character,0.003992401558324479
Agènôr,place,0.024064171122994655
Varsovie,place,1.0
Italiennes,place,1.0
Dresde,place,1.0
Gina,character,0.004665825977301388
Muse,character,0.6488095238095238
Dubuisson,character,0.08831908831908832
William,character,0.013504273504273506
Grenadière,place,1.0
Chapelle,place,0.0039025295318201496
Jeanne,character,0.10483271375464685
Hôtel-Dieu,other,1.0
GrandPrix,character,0.5794621026894865
Work,place,0.5707317073170731
Pizène,character,1.0
Atlantique,place,1.0
Barbarie,character,0.013043478260869566
Rosemonde,character,1.0
Écouen,place,1.0
Lothaire,character,0.6488888888888888
Aragon,character,0.65
Etats,place,0.012718600953895072
Agélaos,character,0.723404255319149
Mickey,character,0.7371134020618557
Françoise,character,0.6311475409836066
Lucien,place,0.0030120481927710845
MlleIza,character,1.0
Gouraud,character,0.008956796628029505
Item,character,0.6
Anzoleto,other,1.0
Géants,character,0.04755244755244756
Horn,character,0.5794392523364486
MBonacieux,character,1.0
Isolés,other,1.0
Plassans,place,1.0
Paradis,other,0.5
Jamais,character,0.006535947712418301
Babylone,place,0.8
Baloup,character,0.6666666666666666
Palais-Cardinal,place,0.6111111111111112
Nicolas,place,0.5351014040561622
Mairie,place,1.0
Misère,other,1.0
LaPérouse,character,0.6666666666666666
Gennaro,place,0.0048951048951048955
LosAlamos,place,1.0
Herméias,character,1.0
Jean-Bart,character,0.8235294117647058
Martelet,other,1.0
MmeAmati,character,1.0
Schinner,character,1.0
Sainte-Chapelle,place,0.5
Toussaint,character,1.0
Reischoffen,character,1.0
Akhaiennes,character,0.5
MMell,place,1.0
Proctor,place,0.03571428571428571
Déguenillé,other,1.0
CommeEdith,character,1.0
Troie,place,0.75
GracePoole,character,1.0
MBras-Rouge,character,0.5555555555555556
CidHamet,character,1.0
Catalan,place,1.0
TRÉSOR,other,1.0
Motteville,place,1.0
Andrée,other,0.5
Henrietta,place,0.06999999999999999
Markham,place,1.0
Henriette,place,0.6666666666666666
Bel-Air,character,0.5360824742268041
Oiseau,character,1.0
Marie-Angélique,character,0.8
Sauval,place,0.5
Lancelot,character,1.0
Sancho,character,0.5869565217391305
MVillers,place,1.0
JosephHaydn,character,0.875
Sévigné,place,0.02947368421052632
Enghien,place,1.0
Fontenailles,place,0.011564211807668898
LaDame,character,0.0213903743315508
Mantes,character,0.6344086021505376
Gene,other,1.0
Rossinante,character,1.0
Arraines,concept,1.0
Code,character,0.006195596518177163
Craig,character,0.7136752136752137
Allah,concept,0.6666666666666666
Capricorne,character,0.5052631578947369
Théodule,place,0.04722492697176242
Japon,place,1.0
Gand,place,1.0
Bréville,character,0.059829059829059825
Prudhomme,character,0.8297872340425532
Zacharie,character,0.6619718309859155
Croix-Rouge,character,0.6570048309178744
KronideZeus,concept,1.0
Iza,character,0.589041095890411
Baoussé-Roussé,other,0.5
Adriatique,place,1.0
Etats-Unis,place,1.0
Porpora,character,0.8333333333333334
Pomereux,character,1.0
Éris,concept,0.6666666666666666
Homme-Armé,character,1.0
Lincoln,place,0.5743440233236151
Gaillefontaine,place,1.0
SonExcellence,concept,1.0
Bérénice,character,0.014832162373145979
Enterprise,place,0.635
